companyNumber,recordType,companyStatus,numberOfOfficers,companyNameLenght,companyName
NC000076,1, ,0004,0022,ISHERWOOD + ELLIS LLP<
NC000077,1,R,0003,0026,CIRCUIT BUILDERS (NI) LLP<
NC000078,1, ,0005,0016,MIDAS NO. 3 LLP<
NC000079,1,D,0001,0022,BEECHDALE TRADING LLP<
NC000080,1, ,0007,0029,COMPOSITE DESIGN IRELAND LLP<
NC000081,1, ,0006,0030,MASCOTT CONSTRUCTION (NI) LLP<
NC000082,1,D,0000,0025,FASSORE DEVELOPMENTS LLP<
NC000083,1,D,0002,0022,DISCOVER PRODUCTS LLP<
NC000084,1,D,0002,0029,BARRHEAD SHOPPING CENTRE LLP<
NC000085,1,D,0004,0023,EVISH DEVELOPMENTS LLP<
NC000086,1,D,0003,0029,MORGAN YOUNG CONSULTANTS LLP<
NC000087,1,D,0002,0017,GWM SERVICES LLP<
NC000088,1,D,0004,0026,CRANMORE DEVELOPMENTS LLP<
NC000089,1,D,0003,0026,GWM DEVELOPMENTS (UK) LLP<
NC000090,1,D,0002,0015,LANDCENTRE LLP<
NC000091,1,D,0002,0009,JCMC LLP<
NC000092,1,D,0000,0024,MALLUSK INVESTMENTS LLP<
NC000093,1,D,0003,0017,CASTRO HOMES LLP<
NC000094,1,D,0002,0030,MANSTON INVESTMENT (N.I.) LLP<
NC000095,1,D,0002,0018,KANLY TRADING LLP<
NC000096,1,D,0004,0020,BJM ACCOUNTANTS LLP<
NC000097,1,D,0003,0018,QED RESOURCES LLP<
NC000098,1,D,0004,0024,J&D PROPERTIES (NI) LLP<
NC000099,1, ,0003,0025,GP DEVELOPMENTS (NI) LLP<
NC000100,1,L,0003,0020,ROONEY BROTHERS LLP<
NC000101,1,D,0002,0021,BAC DEVELOPMENTS LLP<
NC000102,1,R,0001,0022,SIGNAL PROPERTIES LLP<
NC000103,1, ,0003,0035,FERGUSON PROPERTY DEVELOPMENTS LLP<
NC000104,1,D,0002,0024,GS INVESTMENTS (NI) LLP<
NC000105,1, ,0003,0024,BYRNE LAW SEARCHERS LLP<
NC000106,1,D,0003,0019,JIB CONSULTING LLP<
NC000107,1,D,0002,0028,LALLY DESIGN ASSOCIATES LLP<
NC000108,1,D,0004,0023,LISLEEN PROPERTIES LLP<
NC000109,1,R,0002,0023,J.I.M DEVELOPMENTS LLP<
NC000110,1,D,0003,0023,CARNMORE CONTRACTS LLP<
NC000111,1,R,0003,0016,WJ LAW & CO LLP<
NC000112,1, ,0002,0017,BELMONT ROAD LLP<
NC000113,1, ,0004,0016,BANGOR INNS LLP<
NC000114,1,D,0002,0029,PRIME CARE SERVICES (NI) LLP<
NC000115,1,D,0004,0028,FIRST CLASS PROCUREMENT LLP<
NC000116,1, ,0009,0027,PINSENT MASONS BELFAST LLP<
NC000117,1, ,0005,0009,GAZE LLP<
NC000118,1,R,0002,0023,RN PROPERTIES (NI) LLP<
NC000119,1,D,0002,0024,IC INVESTMENTS (NI) LLP<
NC000120,1,D,0002,0022,STRANGFORD IMAGES LLP<
NC000121,1,D,0003,0013,TANNDOOR LLP<
NC000122,1,D,0002,0027,SALISBURY DEVELOPMENTS LLP<
NC000123,1,D,0002,0020,JERMON AVIATION LLP<
NC000124,1,D,0003,0021,D2M DEVELOPMENTS LLP<
NC000125,1,D,0009,0026,BRADKEEL DEVELOPMENTS LLP<
NC000126,1, ,0003,0024,GMAX APPLIANCE CARE LLP<
NC000127,1,D,0002,0026,DUNCAIRN DEVELOPMENTS LLP<
NC000128,1,D,0006,0024,KHOBAR DEVELOPMENTS LLP<
NC000129,1,D,0004,0030,JET PROPERTY DEVELOPMENTS LLP<
NC000130,1,L,0003,0023,NIAMH DEVELOPMENTS LLP<
NC000131,1,D,0003,0018,P&K CONTRACTS LLP<
NC000132,1, ,0003,0020,MOY INVESTMENTS LLP<
NC000133,1, ,0002,0017,APACHE THREE LLP<
NC000134,1, ,0004,0019,KAIDO PROJECTS LLP<
NC000135,1, ,0003,0032,G & M DEVELOPMENT CONTRACTS LLP<
NC000136,1, ,0007,0016,TWISEL BURN LLP<
NC000137,1,D,0003,0025,GREGORY TRADING (NI) LLP<
NC000138,1,D,0000,0019,ISLAND ESTATES LLP<
NC000139,1,D,0002,0017,HOMING BIRDS LLP<
NC000140,1,D,0003,0030,CLEYMORE PROJECT MANAGERS LLP<
NC000141,1,D,0004,0025,BJM STAFF OPERATIONS LLP<
NC000142,1, ,0002,0028,GRANDESIGN DEVELOPMENTS LLP<
NC000143,1, ,0002,0022,H.P. & ASSOCIATES LLP<
NC000144,1, ,0002,0019,MJM MCLOUGHLIN LLP<
NC000145,1,D,0002,0036,THE FAMILY COACHING CONSULTANCY LLP<
NC000146,1,D,0002,0015,APACHE ONE LLP<
NC000147,1, ,0002,0013,WEIRABLE LLP<
NC000148,1,D,0002,0021,AON DEVELOPMENTS LLP<
NC000149,1,D,0003,0018,PERENNIAL TOP LLP<
NC000150,1,D,0003,0022,SKBG DEVELOPMENTS LLP<
NC000151,1, ,0002,0023,MATHESON CONTRACTS LLP<
NC000152,1,D,0005,0021,GLENS PROPERTIES LLP<
NC000153,1,D,0002,0027,PM COMPUTER CONSULTING LLP<
